Percent,State,County
22.0,KY,Hart County
17.0,KY,Henderson County
17.7,KY,Henry County
17.6,KY,Hickman County
18.4,KY,Hopkins County
31.2,KY,Jackson County
15.4,KY,Jefferson County
18.3,KY,Jessamine County
25.9,KY,Johnson County
12.8,KY,Kenton County
33.8,KY,Knott County
32.0,KY,Knox County
18.1,KY,Larue County
23.0,KY,Laurel County
25.0,KY,Lawrence County
34.7,KY,Lee County
33.7,KY,Leslie County
33.2,KY,Letcher County
24.7,KY,Lewis County
21.2,KY,Lincoln County
15.3,KY,Livingston County
15.5,KY,Logan County
16.9,KY,Lyon County
15.2,KY,McCracken County
41.5,KY,McCreary County
17.3,KY,McLean County
18.2,KY,Madison County
32.6,KY,Magoffin County
20.5,KY,Marion County
12.1,KY,Marshall County
40.0,KY,Martin County
19.5,KY,Mason County
13.5,KY,Meade County
26.8,KY,Menifee County
15.1,KY,Mercer County
22.9,KY,Metcalfe County
25.3,KY,Monroe County
21.5,KY,Montgomery County
31.3,KY,Morgan County
19.4,KY,Muhlenberg County
12.5,KY,Nelson County
21.5,KY,Nicholas County
19.9,KY,Ohio County
6.2,KY,Oldham County
16.9,KY,Owen County
42.4,KY,Owsley County
16.4,KY,Pendleton County
28.5,KY,Perry County
25.0,KY,Pike County
26.0,KY,Powell County
23.0,KY,Pulaski County
22.5,KY,Robertson County
22.9,KY,Rockcastle County
27.2,KY,Rowan County
24.6,KY,Russell County
13.1,KY,Scott County
11.5,KY,Shelby County
16.0,KY,Simpson County
9.0,KY,Spencer County
23.0,KY,Taylor County
19.3,KY,Todd County
15.1,KY,Trigg County
15.7,KY,Trimble County
20.7,KY,Union County
18.0,KY,Warren County
17.1,KY,Washington County
28.0,KY,Wayne County
18.1,KY,Webster County
29.2,KY,Whitley County
30.7,KY,Wolfe County
11.6,KY,Woodford County
19.5,LA,Louisiana
23.7,LA,Acadia Parish
20.4,LA,Allen Parish
10.7,LA,Ascension Parish
16.8,LA,Assumption Parish
25.3,LA,Avoyelles Parish
19.5,LA,Beauregard Parish
25.4,LA,Bienville Parish
14.5,LA,Bossier Parish
22.2,LA,Caddo Parish
17.5,LA,Calcasieu Parish
22.9,LA,Caldwell Parish
12.7,LA,Cameron Parish
27.2,LA,Catahoula Parish
30.9,LA,Claiborne Parish
29.5,LA,Concordia Parish
24.9,LA,De Soto Parish
18.5,LA,East Baton Rouge Parish
43.5,LA,East Carroll Parish
21.8,LA,East Feliciana Parish
25.7,LA,Evangeline Parish
25.4,LA,Franklin Parish
21.3,LA,Grant Parish
20.8,LA,Iberia Parish
22.3,LA,Iberville Parish
21.1,LA,Jackson Parish
16.3,LA,Jefferson Parish
20.3,LA,Jefferson Davis Parish
17.0,LA,Lafayette Parish
14.1,LA,Lafourche Parish
18.5,LA,La Salle Parish
25.5,LA,Lincoln Parish
13.5,LA,Livingston Parish
37.6,LA,Madison Parish
31.1,LA,Morehouse Parish
29.6,LA,Natchitoches Parish
24.0,LA,Orleans Parish
23.0,LA,Ouachita Parish
17.3,LA,Plaquemines Parish
19.3,LA,Pointe Coupee Parish
21.6,LA,Rapides Parish
25.7,LA,Red River Parish
24.7,LA,Richland Parish
18.1,LA,Sabine Parish
20.4,LA,St. Bernard Parish
11.8,LA,St. Charles Parish
19.9,LA,St. Helena Parish
18.3,LA,St. James Parish
20.5,LA,St. John the Baptist Parish
27.0,LA,St. Landry Parish
18.3,LA,St. Martin Parish
19.7,LA,St. Mary Parish
12.5,LA,St. Tammany Parish
24.0,LA,Tangipahoa Parish
35.1,LA,Tensas Parish
20.1,LA,Terrebonne Parish
21.9,LA,Union Parish
18.1,LA,Vermilion Parish
17.5,LA,Vernon Parish
26.2,LA,Washington Parish
25.9,LA,Webster Parish
15.1,LA,West Baton Rouge Parish
22.7,LA,West Carroll Parish
23.9,LA,West Feliciana Parish
24.0,LA,Winn Parish
13.2,ME,Maine
15.0,ME,Androscoggin County
18.4,ME,Aroostook County
10.7,ME,Cumberland County
14.6,ME,Franklin County
11.5,ME,Hancock County
13.1,ME,Kennebec County
11.4,ME,Knox County
14.1,ME,Lincoln County
17.0,ME,Oxford County
17.1,ME,Penobscot County
19.1,ME,Piscataquis County
11.2,ME,Sagadahoc County
18.7,ME,Somerset County
14.4,ME,Waldo County
18.8,ME,Washington County
8.3,ME,York County
9.9,MD,Maryland
20.0,MD,Allegany County
6.0,MD,Anne Arundel County
9.1,MD,Baltimore County
5.9,MD,Calvert County
14.4,MD,Caroline County
6.2,MD,Carroll County
10.0,MD,Cecil County
7.1,MD,Charles County
18.1,MD,Dorchester County
7.4,MD,Frederick County
13.6,MD,Garrett County
7.8,MD,Harford County
5.2,MD,Howard County
14.8,MD,Kent County
7.5,MD,Montgomery County
9.5,MD,Prince George's County
7.2,MD,Queen Anne's County
8.7,MD,St. Mary's County
25.8,MD,Somerset County
10.4,MD,Talbot County
12.0,MD,Washington County
14.7,MD,Wicomico County
11.3,MD,Worcester County
22.7,MD,Baltimore city
11.5,MA,Massachusetts
7.6,MA,Barnstable County
14.3,MA,Berkshire County
12.6,MA,Bristol County
8.5,MA,Dukes County
11.5,MA,Essex County
11.8,MA,Franklin County
17.1,MA,Hampden County
15.3,MA,Hampshire County
7.6,MA,Middlesex County
7.3,MA,Nantucket County
7.1,MA,Norfolk County
9.7,MA,Plymouth County
19.8,MA,Suffolk County
12.1,MA,Worcester County
15.7,MI,Michigan
15.8,MI,Alcona County
14.6,MI,Alger County
11.2,MI,Allegan County
16.2,MI,Alpena County
14.2,MI,Antrim County
20.1,MI,Arenac County
17.3,MI,Baraga County
9.3,MI,Barry County
14.5,MI,Bay County
10.5,MI,Benzie County
17.1,MI,Berrien County
14.9,MI,Branch County
16.1,MI,Calhoun County
14.8,MI,Cass County
11.6,MI,Charlevoix County
17.6,MI,Cheboygan County
19.7,MI,Chippewa County
24.7,MI,Clare County
10.0,MI,Clinton County
17.2,MI,Crawford County
14.8,MI,Delta County
12.3,MI,Dickinson County
10.9,MI,Eaton County
11.0,MI,Emmet County
20.5,MI,Genesee County
19.8,MI,Gladwin County
18.6,MI,Gogebic County
8.5,MI,Grand Traverse County
16.5,MI,Gratiot County
16.6,MI,Hillsdale County
17.4,MI,Houghton County
11.7,MI,Huron County
21.0,MI,Ingham County
14.2,MI,Ionia County
16.1,MI,Iosco County
14.6,MI,Iron County
26.1,MI,Isabella County
16.2,MI,Jackson County
16.0,MI,Kalamazoo County
16.5,MI,Kalkaska County
14.5,MI,Kent County
13.4,MI,Keweenaw County
24.8,MI,Lake County
10.0,MI,Lapeer County
7.9,MI,Leelanau County
14.3,MI,Lenawee County
6.5,MI,Livingston County
19.6,MI,Luce County
16.1,MI,Mackinac County
11.7,MI,Macomb County
15.0,MI,Manistee County
15.0,MI,Marquette County
16.8,MI,Mason County
21.3,MI,Mecosta County
16.9,MI,Menominee County
11.5,MI,Midland County
17.5,MI,Missaukee County
10.6,MI,Monroe County
17.9,MI,Montcalm County
18.2,MI,Montmorency County
16.1,MI,Muskegon County
16.3,MI,Newaygo County
9.3,MI,Oakland County
17.2,MI,Oceana County
19.4,MI,Ogemaw County
14.6,MI,Ontonagon County
18.7,MI,Osceola County
20.5,MI,Oscoda County
12.1,MI,Otsego County
8.6,MI,Ottawa County
13.6,MI,Presque Isle County
19.2,MI,Roscommon County
18.6,MI,Saginaw County
12.8,MI,St. Clair County
14.7,MI,St. Joseph County
16.7,MI,Sanilac County
15.9,MI,Schoolcraft County
12.4,MI,Shiawassee County
15.5,MI,Tuscola County
15.7,MI,Van Buren County
14.2,MI,Washtenaw County
24.8,MI,Wayne County
14.8,MI,Wexford County
10.2,MN,Minnesota
14.2,MN,Aitkin County
7.1,MN,Anoka County
11.3,MN,Becker County
16.2,MN,Beltrami County
11.4,MN,Benton County
11.5,MN,Big Stone County
17.2,MN,Blue Earth County
8.3,MN,Brown County
10.8,MN,Carlton County
4.5,MN,Carver County
15.0,MN,Cass County
11.1,MN,Chippewa County
6.3,MN,Chisago County
12.1,MN,Clay County
14.6,MN,Clearwater County
11.1,MN,Cook County
13.7,MN,Cottonwood County
10.4,MN,Crow Wing County
7.1,MN,Dakota County
6.9,MN,Dodge County
8.8,MN,Douglas County
11.3,MN,Faribault County
10.8,MN,Fillmore County
13.4,MN,Freeborn County
8.9,MN,Goodhue County
10.6,MN,Grant County
10.9,MN,Hennepin County
8.2,MN,Houston County
10.6,MN,Hubbard County
7.7,MN,Isanti County
12.7,MN,Itasca County
9.2,MN,Jackson County
11.7,MN,Kanabec County
10.9,MN,Kandiyohi County
10.2,MN,Kittson County
14.3,MN,Koochiching County
8.4,MN,Lac qui Parle County
9.8,MN,Lake County
11.7,MN,Lake of the Woods County
8.5,MN,Le Sueur County
9.3,MN,Lincoln County
12.2,MN,Lyon County
8.6,MN,McLeod County
21.5,MN,Mahnomen County
8.3,MN,Marshall County
13.6,MN,Martin County
7.9,MN,Meeker County
12.4,MN,Mille Lacs County
10.9,MN,Morrison County
10.8,MN,Mower County
9.0,MN,Murray County
10.7,MN,Nicollet County
12.9,MN,Nobles County
11.7,MN,Norman County
8.9,MN,Olmsted County
9.7,MN,Otter Tail County
10.4,MN,Pennington County
13.9,MN,Pine County
11.0,MN,Pipestone County
11.8,MN,Polk County
8.4,MN,Pope County
15.1,MN,Ramsey County
9.7,MN,Red Lake County
11.0,MN,Redwood County
9.5,MN,Renville County
9.2,MN,Rice County
9.7,MN,Rock County
9.4,MN,Roseau County
13.4,MN,St. Louis County
5.1,MN,Scott County
7.5,MN,Sherburne County
8.9,MN,Sibley County
13.5,MN,Stearns County
9.4,MN,Steele County
10.9,MN,Stevens County
11.9,MN,Swift County
12.8,MN,Todd County
14.4,MN,Traverse County
6.9,MN,Wabasha County
15.0,MN,Wadena County
9.9,MN,Waseca County
5.1,MN,Washington County
11.3,MN,Watonwan County
9.8,MN,Wilkin County
12.7,MN,Winona County
5.1,MN,Wright County
12.5,MN,Yellow Medicine County
22.1,MS,Mississippi
29.6,MS,Adams County
19.6,MS,Alcorn County
22.2,MS,Amite County
22.9,MS,Attala County
25.3,MS,Benton County
36.1,MS,Bolivar County
23.0,MS,Calhoun County
19.0,MS,Carroll County
26.6,MS,Chickasaw County
24.5,MS,Choctaw County
46.3,MS,Claiborne County
21.8,MS,Clarke County
27.6,MS,Clay County
35.0,MS,Coahoma County
26.1,MS,Copiah County
22.4,MS,Covington County
10.0,MS,DeSoto County
26.6,MS,Forrest County
20.6,MS,Franklin County
17.1,MS,George County
22.6,MS,Greene County
21.3,MS,Grenada County
20.8,MS,Hancock County
22.0,MS,Harrison County
27.1,MS,Hinds County
43.3,MS,Holmes County
41.5,MS,Humphreys County
40.4,MS,Issaquena County
18.1,MS,Itawamba County
16.1,MS,Jackson County
22.8,MS,Jasper County
39.3,MS,Jefferson County
30.5,MS,Jefferson Davis County
23.2,MS,Jones County
31.9,MS,Kemper County
21.0,MS,Lafayette County
16.4,MS,Lamar County
22.0,MS,Lauderdale County
20.9,MS,Lawrence County
24.3,MS,Leake County
17.4,MS,Lee County
42.3,MS,Leflore County
20.0,MS,Lincoln County
23.5,MS,Lowndes County
12.7,MS,Madison County
24.2,MS,Marion County
23.3,MS,Marshall County
20.7,MS,Monroe County
25.8,MS,Montgomery County
25.5,MS,Neshoba County
22.7,MS,Newton County
34.3,MS,Noxubee County
27.1,MS,Oktibbeha County
24.8,MS,Panola County
21.0,MS,Pearl River County
21.0,MS,Perry County
30.1,MS,Pike County
15.6,MS,Pontotoc County
19.5,MS,Prentiss County
38.2,MS,Quitman County
9.7,MS,Rankin County
21.7,MS,Scott County
34.3,MS,Sharkey County
24.5,MS,Simpson County
19.5,MS,Smith County
20.5,MS,Stone County
39.3,MS,Sunflower County
32.9,MS,Tallahatchie County
19.2,MS,Tate County
18.2,MS,Tippah County
17.1,MS,Tishomingo County
28.9,MS,Tunica County
17.0,MS,Union County
27.6,MS,Walthall County
21.6,MS,Warren County
36.2,MS,Washington County
24.5,MS,Wayne County
20.5,MS,Webster County
34.5,MS,Wilkinson County
26.6,MS,Winston County
22.4,MS,Yalobusha County
34.2,MS,Yazoo County
14.8,MO,Missouri
21.9,MO,Adair County
9.5,MO,Andrew County
13.0,MO,Atchison County
18.7,MO,Audrain County
20.7,MO,Barry County
18.0,MO,Barton County
14.1,MO,Bates County
18.7,MO,Benton County
18.3,MO,Bollinger County
17.7,MO,Boone County
17.3,MO,Buchanan County
23.4,MO,Butler County
12.7,MO,Caldwell County
13.9,MO,Callaway County
14.9,MO,Camden County
16.4,MO,Cape Girardeau County
15.7,MO,Carroll County
21.4,MO,Carter County
9.2,MO,Cass County
19.9,MO,Cedar County
13.3,MO,Chariton County
10.4,MO,Christian County
14.7,MO,Clark County
7.8,MO,Clay County
10.4,MO,Clinton County
11.9,MO,Cole County
14.4,MO,Cooper County
19.4,MO,Crawford County
17.5,MO,Dade County
18.1,MO,Dallas County
15.3,MO,Daviess County
20.0,MO,DeKalb County
21.5,MO,Dent County
23.1,MO,Douglas County
27.6,MO,Dunklin County
11.4,MO,Franklin County
12.1,MO,Gasconade County
14.9,MO,Gentry County
17.7,MO,Greene County
19.1,MO,Grundy County
18.0,MO,Harrison County
18.8,MO,Henry County
23.8,MO,Hickory County
13.7,MO,Holt County
15.9,MO,Howard County
19.9,MO,Howell County
22.9,MO,Iron County
17.6,MO,Jackson County
16.0,MO,Jasper County
10.5,MO,Jefferson County
16.3,MO,Johnson County
18.7,MO,Knox County
17.4,MO,Laclede County
12.2,MO,Lafayette County
18.3,MO,Lawrence County
16.3,MO,Lewis County
11.3,MO,Lincoln County
17.4,MO,Linn County
18.8,MO,Livingston County
20.1,MO,McDonald County
14.6,MO,Macon County
19.3,MO,Madison County
15.4,MO,Maries County
17.7,MO,Marion County
14.2,MO,Mercer County
18.7,MO,Miller County
26.6,MO,Mississippi County
14.7,MO,Moniteau County
14.0,MO,Monroe County
17.0,MO,Montgomery County
23.1,MO,Morgan County
23.9,MO,New Madrid County
14.5,MO,Newton County
22.9,MO,Nodaway County
24.7,MO,Oregon County
9.6,MO,Osage County
27.7,MO,Ozark County
28.0,MO,Pemiscot County
11.1,MO,Perry County
15.1,MO,Pettis County
19.1,MO,Phelps County
18.2,MO,Pike County
7.6,MO,Platte County
17.5,MO,Polk County
16.2,MO,Pulaski County
18.0,MO,Putnam County
11.5,MO,Ralls County
20.0,MO,Randolph County
11.1,MO,Ray County
21.5,MO,Reynolds County
25.4,MO,Ripley County
6.3,MO,St. Charles County
22.6,MO,St. Clair County
10.9,MO,Ste. Genevieve County
18.2,MO,St. Francois County
10.3,MO,St. Louis County
16.5,MO,Saline County
18.3,MO,Schuyler County
15.8,MO,Scotland County
18.1,MO,Scott County
23.9,MO,Shannon County
16.8,MO,Shelby County
19.0,MO,Stoddard County
14.8,MO,Stone County
17.4,MO,Sullivan County
16.0,MO,Taney County
23.3,MO,Texas County
18.5,MO,Vernon County
12.3,MO,Warren County
20.7,MO,Washington County
24.3,MO,Wayne County
19.2,MO,Webster County
15.9,MO,Worth County
24.1,MO,Wright County
25.5,MO,St. Louis city
14.4,MT,Montana
17.0,MT,Beaverhead County
31.0,MT,Big Horn County
29.6,MT,Blaine County
10.8,MT,Broadwater County
11.7,MT,Carbon County
13.9,MT,Carter County
14.4,MT,Cascade County
17.6,MT,Chouteau County
12.2,MT,Custer County
10.2,MT,Daniels County
11.0,MT,Dawson County
18.1,MT,Deer Lodge County
7.7,MT,Fallon County
13.6,MT,Fergus County
14.0,MT,Flathead County
10.9,MT,Gallatin County
14.2,MT,Garfield County
28.1,MT,Glacier County
20.2,MT,Golden Valley County
14.1,MT,Granite County
21.2,MT,Hill County
9.8,MT,Jefferson County
13.8,MT,Judith Basin County
20.8,MT,Lake County
12.2,MT,Lewis and Clark County
17.0,MT,Liberty County
20.3,MT,Lincoln County
13.9,MT,McCone County
11.4,MT,Madison County
17.3,MT,Meagher County
16.4,MT,Mineral County
15.8,MT,Missoula County
17.7,MT,Musselshell County
12.7,MT,Park County
15.4,MT,Petroleum County
16.4,MT,Phillips County
20.1,MT,Pondera County
10.7,MT,Powder River County
18.1,MT,Powell County
12.5,MT,Prairie County
14.9,MT,Ravalli County
7.0,MT,Richland County
24.3,MT,Roosevelt County
18.8,MT,Rosebud County
18.7,MT,Sanders County
9.4,MT,Sheridan County
16.7,MT,Silver Bow County
9.1,MT,Stillwater County
10.7,MT,Sweet Grass County
12.4,MT,Teton County
17.0,MT,Toole County
11.8,MT,Treasure County
12.1,MT,Valley County
20.1,MT,Wheatland County
10.1,MT,Wibaux County
10.4,MT,Yellowstone County
12.2,NE,Nebraska
12.7,NE,Adams County
12.2,NE,Antelope County
13.2,NE,Arthur County
11.9,NE,Banner County
16.6,NE,Blaine County
9.2,NE,Boone County
11.6,NE,Box Butte County
12.2,NE,Boyd County
12.6,NE,Brown County
13.0,NE,Buffalo County
11.6,NE,Burt County
8.1,NE,Butler County
7.1,NE,Cass County
9.4,NE,Cedar County
8.2,NE,Chase County
11.7,NE,Cherry County
9.0,NE,Cheyenne County
10.2,NE,Clay County
10.9,NE,Colfax County
9.9,NE,Cuming County
11.6,NE,Custer County
14.6,NE,Dakota County
17.8,NE,Dawes County
12.6,NE,Dawson County
11.1,NE,Deuel County
9.3,NE,Dixon County
11.6,NE,Dodge County
14.5,NE,Douglas County
13.2,NE,Dundy County
9.8,NE,Fillmore County
13.3,NE,Franklin County
12.6,NE,Frontier County
13.4,NE,Furnas County
10.2,NE,Gage County
14.8,NE,Garden County
11.9,NE,Garfield County
9.1,NE,Gosper County
9.2,NE,Grant County
12.2,NE,Greeley County
13.5,NE,Hall County
7.3,NE,Hamilton County
12.0,NE,Harlan County
14.7,NE,Hayes County
14.1,NE,Hitchcock County
11.9,NE,Holt County
8.1,NE,Hooker County
10.4,NE,Howard County
12.3,NE,Jefferson County
13.2,NE,Johnson County
8.6,NE,Kearney County
10.9,NE,Keith County
15.1,NE,Keya Paha County
12.7,NE,Kimball County
13.7,NE,Knox County
13.5,NE,Lancaster County
12.3,NE,Lincoln County
8.9,NE,Logan County
15.3,NE,Loup County
12.1,NE,McPherson County
13.8,NE,Madison County
10.4,NE,Merrick County
13.5,NE,Morrill County
13.2,NE,Nance County
13.1,NE,Nemaha County
12.5,NE,Nuckolls County
10.6,NE,Otoe County
13.2,NE,Pawnee County
10.1,NE,Perkins County
10.4,NE,Phelps County
9.4,NE,Pierce County
8.3,NE,Platte County
7.9,NE,Polk County
11.8,NE,Red Willow County
13.0,NE,Richardson County
14.2,NE,Rock County
10.0,NE,Saline County
5.8,NE,Sarpy County
8.8,NE,Saunders County
15.1,NE,Scotts Bluff County
7.5,NE,Seward County
14.3,NE,Sheridan County
12.5,NE,Sherman County
14.0,NE,Sioux County
8.5,NE,Stanton County
10.2,NE,Thayer County
12.6,NE,Thomas County
25.6,NE,Thurston County
12.2,NE,Valley County
6.7,NE,Washington County
12.0,NE,Wayne County
12.9,NE,Webster County
11.4,NE,Wheeler County
10.1,NE,York County
14.9,NV,Nevada
13.1,NV,Churchill County
15.4,NV,Clark County
9.4,NV,Douglas County
9.9,NV,Elko County
14.7,NV,Esmeralda County
9.5,NV,Eureka County
9.4,NV,Humboldt County
10.8,NV,Lander County
14.3,NV,Lincoln County
13.8,NV,Lyon County
18.0,NV,Mineral County
17.5,NV,Nye County
18.3,NV,Pershing County
7.8,NV,Storey County
13.8,NV,Washoe County
14.1,NV,White Pine County
16.4,NV,Carson City
8.4,NH,New Hampshire
8.8,NH,Belknap County
9.6,NH,Carroll County
9.9,NH,Cheshire County
16.1,NH,Coos County
11.2,NH,Grafton County
8.0,NH,Hillsborough County
8.3,NH,Merrimack County
5.2,NH,Rockingham County
11.4,NH,Strafford County
11.2,NH,Sullivan County
10.8,NJ,New Jersey
14.1,NJ,Atlantic County
7.1,NJ,Bergen County
7.7,NJ,Burlington County
13.1,NJ,Camden County
10.5,NJ,Cape May County
17.2,NJ,Cumberland County
16.8,NJ,Essex County
7.7,NJ,Gloucester County
17.7,NJ,Hudson County
5.0,NJ,Hunterdon County
11.2,NJ,Mercer County
8.5,NJ,Middlesex County
7.5,NJ,Monmouth County
5.3,NJ,Morris County
10.9,NJ,Ocean County
17.3,NJ,Passaic County
11.9,NJ,Salem County
5.5,NJ,Somerset County
5.6,NJ,Sussex County
10.6,NJ,Union County
7.7,NJ,Warren County
19.8,NM,New Mexico
19.0,NM,Bernalillo County
23.4,NM,Catron County
21.1,NM,Chaves County
29.2,NM,Cibola County
19.7,NM,Colfax County
21.7,NM,Curry County
20.2,NM,DeBaca County
25.7,NM,Dona Ana County
12.3,NM,Eddy County
20.5,NM,Grant County
23.9,NM,Guadalupe County
14.3,NM,Harding County
25.2,NM,Hidalgo County
14.3,NM,Lea County
17.8,NM,Lincoln County
4.0,NM,Los Alamos County
30.9,NM,Luna County
34.1,NM,McKinley County
23.9,NM,Mora County
23.0,NM,Otero County
23.0,NM,Quay County
24.2,NM,Rio Arriba County
20.4,NM,Roosevelt County
11.2,NM,Sandoval County
18.8,NM,San Juan County
28.7,NM,San Miguel County
13.1,NM,Santa Fe County
28.7,NM,Sierra County
23.5,NM,Socorro County
19.9,NM,Taos County
26.2,NM,Torrance County
17.1,NM,Union County
19.8,NM,Valencia County
15.5,NY,New York
12.6,NY,Albany County
16.8,NY,Allegany County
30.3,NY,Bronx County
17.7,NY,Broome County
18.0,NY,Cattaraugus County
12.7,NY,Cayuga County
17.2,NY,Chautauqua County
14.9,NY,Chemung County
14.3,NY,Chenango County
17.5,NY,Clinton County
13.6,NY,Columbia County
16.2,NY,Cortland County
16.9,NY,Delaware County
10.4,NY,Dutchess County
15.6,NY,Erie County
12.2,NY,Essex County
18.3,NY,Franklin County
17.9,NY,Fulton County
13.4,NY,Genesee County
16.4,NY,Greene County
11.1,NY,Hamilton County
12.7,NY,Herkimer County
14.1,NY,Jefferson County
22.3,NY,Kings County
14.0,NY,Lewis County
13.2,NY,Livingston County
12.9,NY,Madison County
14.8,NY,Monroe County
18.4,NY,Montgomery County
6.1,NY,Nassau County
17.6,NY,New York County
15.5,NY,Niagara County
18.0,NY,Oneida County
14.6,NY,Onondaga County
9.6,NY,Ontario County
12.1,NY,Orange County
14.2,NY,Orleans County
17.4,NY,Oswego County
16.8,NY,Otsego County
6.0,NY,Putnam County
13.9,NY,Queens County
12.0,NY,Rensselaer County
14.2,NY,Richmond County
14.0,NY,Rockland County
18.5,NY,St. Lawrence County
6.4,NY,Saratoga County
12.0,NY,Schenectady County
13.7,NY,Schoharie County
12.5,NY,Schuyler County
14.1,NY,Seneca County
15.4,NY,Steuben County
7.8,NY,Suffolk County
18.1,NY,Sullivan County
11.7,NY,Tioga County
20.1,NY,Tompkins County
14.0,NY,Ulster County
11.3,NY,Warren County
13.3,NY,Washington County
12.2,NY,Wayne County
10.1,NY,Westchester County
13.3,NY,Wyoming County
13.6,NY,Yates County
16.4,NC,North Carolina
18.9,NC,Alamance County
15.5,NC,Alexander County
22.9,NC,Alleghany County
25.2,NC,Anson County
20.2,NC,Ashe County
19.7,NC,Avery County
19.2,NC,Beaufort County
24.8,NC,Bertie County
25.4,NC,Bladen County
14.3,NC,Brunswick County
15.2,NC,Buncombe County
16.7,NC,Burke County
10.8,NC,Cabarrus County
16.2,NC,Caldwell County
9.7,NC,Camden County
13.8,NC,Carteret County
20.1,NC,Caswell County
15.1,NC,Catawba County
11.6,NC,Chatham County
18.3,NC,Cherokee County
19.4,NC,Chowan County
17.4,NC,Clay County
19.8,NC,Cleveland County
24.0,NC,Columbus County
15.0,NC,Craven County
18.8,NC,Cumberland County
10.4,NC,Currituck County
10.3,NC,Dare County
14.1,NC,Davidson County
12.3,NC,Davie County
24.9,NC,Duplin County
17.1,NC,Durham County
27.8,NC,Edgecombe County
18.1,NC,Forsyth County
16.0,NC,Franklin County
17.3,NC,Gaston County
16.7,NC,Gates County
21.0,NC,Graham County
16.0,NC,Granville County
25.4,NC,Greene County
15.7,NC,Guilford County
27.9,NC,Halifax County
17.7,NC,Harnett County
17.6,NC,Haywood County
13.1,NC,Henderson County
26.9,NC,Hertford County
19.9,NC,Hoke County
23.0,NC,Hyde County
14.2,NC,Iredell County
20.9,NC,Jackson County
13.0,NC,Johnston County
21.4,NC,Jones County
17.1,NC,Lee County
22.7,NC,Lenoir County
13.4,NC,Lincoln County
18.8,NC,McDowell County
16.9,NC,Macon County
20.9,NC,Madison County
22.5,NC,Martin County
14.3,NC,Mecklenburg County
16.7,NC,Mitchell County
19.9,NC,Montgomery County
13.2,NC,Moore County
18.1,NC,Nash County
17.3,NC,New Hanover County
26.8,NC,Northampton County
15.3,NC,Onslow County
14.3,NC,Orange County
14.6,NC,Pamlico County
19.1,NC,Pasquotank County
14.8,NC,Pender County
17.6,NC,Perquimans County
16.3,NC,Person County
25.9,NC,Pitt County
13.5,NC,Polk County
16.4,NC,Randolph County
28.7,NC,Richmond County
30.6,NC,Robeson County
18.4,NC,Rockingham County
17.3,NC,Rowan County
19.2,NC,Rutherford County
21.4,NC,Sampson County
29.0,NC,Scotland County
17.1,NC,Stanly County
15.3,NC,Stokes County
18.2,NC,Surry County
16.2,NC,Swain County
15.4,NC,Transylvania County
25.0,NC,Tyrrell County
9.7,NC,Union County
24.6,NC,Vance County
11.1,NC,Wake County
27.3,NC,Warren County
23.4,NC,Washington County
25.3,NC,Watauga County
18.4,NC,Wayne County
18.7,NC,Wilkes County
19.9,NC,Wilson County
16.3,NC,Yadkin County
19.3,NC,Yancey County
10.7,ND,North Dakota
10.1,ND,Adams County
12.4,ND,Barnes County
27.9,ND,Benson County
7.1,ND,Billings County
10.6,ND,Bottineau County
7.6,ND,Bowman County
8.4,ND,Burke County
9.0,ND,Burleigh County
10.7,ND,Cass County
9.4,ND,Cavalier County
10.3,ND,Dickey County
8.6,ND,Divide County
9.9,ND,Dunn County
11.3,ND,Eddy County
13.9,ND,Emmons County
8.4,ND,Foster County
10.2,ND,Golden Valley County
14.3,ND,Grand Forks County
15.6,ND,Grant County
10.0,ND,Griggs County
10.6,ND,Hettinger County
13.9,ND,Kidder County
10.9,ND,LaMoure County
11.8,ND,Logan County
11.1,ND,McHenry County
12.5,ND,McIntosh County
8.4,ND,McKenzie County
10.0,ND,McLean County
7.2,ND,Mercer County
7.8,ND,Morton County
11.2,ND,Mountrail County
11.6,ND,Nelson County
10.2,ND,Oliver County
8.8,ND,Pembina County
16.1,ND,Pierce County
12.0,ND,Ramsey County
9.1,ND,Ransom County
7.6,ND,Renville County
10.2,ND,Richland County
25.5,ND,Rolette County
7.8,ND,Sargent County
17.6,ND,Sheridan County
40.4,ND,Sioux County
9.0,ND,Slope County
7.5,ND,Stark County
7.8,ND,Steele County
11.4,ND,Stutsman County
10.4,ND,Towner County
9.5,ND,Traill County
10.8,ND,Walsh County
8.4,ND,Ward County
10.4,ND,Wells County
7.8,ND,Williams County
14.8,OH,Ohio
21.3,OH,Adams County
15.5,OH,Allen County
14.1,OH,Ashland County
18.6,OH,Ashtabula County
31.5,OH,Athens County
8.7,OH,Auglaize County
14.6,OH,Belmont County
14.9,OH,Brown County
14.4,OH,Butler County
13.0,OH,Carroll County
10.8,OH,Champaign County
15.1,OH,Clark County
9.5,OH,Clermont County
13.6,OH,Clinton County
14.7,OH,Columbiana County
15.1,OH,Coshocton County
16.5,OH,Crawford County
18.2,OH,Cuyahoga County
9.6,OH,Darke County
10.2,OH,Defiance County
4.4,OH,Delaware County
12.7,OH,Erie County
9.1,OH,Fairfield County
16.3,OH,Fayette County
17.1,OH,Franklin County
8.5,OH,Fulton County
21.7,OH,Gallia County
6.7,OH,Geauga County
12.7,OH,Greene County
18.6,OH,Guernsey County
16.6,OH,Hamilton County
10.6,OH,Hancock County
16.5,OH,Hardin County
